milestone,event,sub_event,detailed_explanation
delivery,attempt,security_check_failed,"The delivery attempt was made, but the delivery failed due to security check issues at the warehouse."
delivery,attempt,warehouse_full,"The delivery attempt was made, but the warehouse was full and unable to receive more shipments."
delivery,delivered,,The carrier have sent a tracking event indicating the shipment / parcel have been delivered but without sufficient detail to determine what sub_event category it fits.
delivery,delivered,to_depot,The shipment / parcel has been delivered to a local depot where the receiver can collect it from.
delivery,delivered,with_signature,The shipment / parcel has been delivered and signed for.
delivery,delivered,left_with_neighbor,The shipment / parcel has been left with a neighbor.
delivery,delivered,left_in_safe_place,The shipment / parcel has been left in a safe place like your porch.
delivery,delivered,parcel_locker,The shipment / parcel has been placed in a parcel locker ready for pickup.
delivery,delivered,pudo_point,The shipment / parcel have been delivered to a pickup / dropoff location.
delivery,delivered,post_office,The shipment / parcel have been delivered to a local post office.
post_delivery,proof,proof_of_delivery,The carrier have sent a proof of delivery event.
post_delivery,proof,photo_of_location,The carrier have sent a photo of the location where the parcel was delivered.
post_delivery,refused,by_recipient,The receiver refused to accept the shipment / parcel whilst collecting it.
post_delivery,collected,by_recipient,"The shipment / parcel have been collected by the receiver from its final delivery point (e.g. the receiver have collected the parcel from a locker, pudo location or similar)."
post_delivery,rating,,The receiver have given a rating of their delivery experience.
post_delivery,rating,nps,The receiver have given a NPS (Net Promoter Score) to rate their delivery experience
post_delivery,claim,,A claim has been issued for the shipment / parcel.
return_to_sender,initiated,,The parcel could not be delivered and the RTS (Return-to-sender) process have been initiated.
return_to_sender,initiated,undeliverable,The carrier attempted to delivery the parcel but failed and the RTS process have been initiated.
return_to_sender,initiated,not_collected,The parcel was not collected by the recipient from the PUDO points or parcel locker and the RTS process have been initiated.
return_to_sender,pending,,The parcel is pending being returned to the sender.
return_to_sender,pending,held_waiting_for_instructions,The parcel is being held at the local depot awaiting further instructions.
return_to_sender,pending,preparing_for_return,The parcel is being prepared to be returned to the sender.
return_to_sender,in_transit,,The parcel is in transit back to the sender.
return_to_sender,customs,,The parcel is undergoing customs clearance procedures.
return_to_sender,carrier_facility,,The parcel has an event from the carriers return depot.
return_to_sender,carrier_facility,arrived,The parcel has arrived at the carrier's return depot.
return_to_sender,carrier_facility,processed,The parcel has been processed at the carrier's return depot.
return_to_sender,carrier_facility,departed,The parcel has departed the carrier's return depot.
return_to_sender,delivered,,The parcel has been successfully returned to the sender.
return_to_sender,delivered,collect_at_carrier,The parcel is ready for collection at the carrier's return depot.
exception,other,,The carrier have sent a tracking event indicating an exception has happened.
exception,delivery,,The carrier have sent a tracking event indicating the shipment / parcel have had a delivery exception.
exception,delivery,parcel_not_received,The carrier have sent a tracking event indicating that they have not yet received the parcel.
exception,delivery,seized_by_law_enforcement,The shipment / parcel was seized by law enforcement.
exception,shipment_rejected,,The shipment / parcel delivery was rejected for another unnamed reason.
exception,shipment_rejected,prohibited_items,The parcel was rejected because it contains items that are prohibited for this service / country by the carrier.
exception,shipment_rejected,oversized,The parcel is too large / heavy to be delivered with the selected carrier service.
exception,shipment_rejected,duplicate_label,The shipment / parcel was rejected because the label was a duplicate of another shipment / parcel.
exception,shipment_rejected,data_error,The shipment / parcel was rejected due to an error in the data we sent them.
exception,shipment_rejected,bad_packaging,The shipment / parcel was rejected because it was poorly packaged.
exception,shipment_rejected,hazmat,The shipment / parcel was rejected because it contains hazardous materials.
exception,shipment_rejected,address_error,The shipment / parcel delivery was rejected because the address was incorrect.
exception,shipment_rejected,area_not_serviced,The shipment / parcel delivery was rejected because the carrier does not deliver to that area.
exception,shipment_rejected,other,The shipment / parcel delivery was rejected for another unnamed reason.
exception,delay,,The shipment / parcel delivery is delayed for some other reason.
exception,delay,due_to_carrier,The shipment / parcel delivery is delayed because carrier issues.
exception,delay,due_to_road_works,The shipment / parcel delivery is delayed because of road works.
exception,delay,due_to_weather,The shipment / parcel delivery is delayed because of bad weather.
exception,delay,due_to_sender,The shipment / parcel delivery is delayed because of the sender.
exception,delay,due_to_recipient,The shipment / parcel delivery is delayed because of the recipient.
exception,delay,due_to_misroute,The shipment / parcel was accidentally sent in the wrong direction by the carrier and this cause a delay.
exception,delay,due_to_data,The shipment / parcel was is delayed because of incomplete / wrong data sent to the carrier.
exception,damage_loss,parcel_damaged,The shipment / parcel got damaged while being delivered.
exception,damage_loss,parcel_destroyed,The shipment / parcel was destroyed during delivery.
exception,damage_loss,lost_in_transit,The shipment / parcel got lost during delivery.
exception,carrier_hub,other,An exception occurred at the carrier hub but without sufficient detail to determine what type of exception it is.
exception,held_at_hub,,The shipment / parcel is held at a hub for some other reason.
exception,held_at_hub,hazmat,The shipment / parcel is held at a hub because it contains hazardous materials that are not accepted by the carrier.
exception,held_at_hub,bad_address,The shipment / parcel is held at a hub because the address is incorrect.
exception,held_at_hub,missing_information,The shipment / parcel is held at a hub because it is missing some information.
exception,held_at_hub,prohibited_items,The shipment / parcel is held because it has something that is not allowed.
exception,destroyed,,The shipment / parcel was destroyed by the carrier for some reason.
in_transit,departure_airport,,The carrier has sent a tracking event acknowledging that the shipment / parcel is at the origin airport but without sufficient detail to determine what sub_event category it fits.
in_transit,departure_airport,en_route,The shipment / parcel is enroute to the departure (origin) airport for an international flight.
in_transit,departure_airport,handed_over,The shipment / parcel have been handed over to an airline from where it will depart the origin country. This event is typically triggered from the carrier side to denote they have left the parcel with the airline at the airport.
in_transit,departure_airport,take_off,The shipment / parcel have departed the airport in the origin country (i.e. the flight itself have taken off).
